title,company,location,state,date_posted,job_type,salary,is_remote,job_url_direct,_is_entry,_is_remote_yes,_date
Business Operations Data Integrity Analyst,NCR Atleos,"Frisco, TX, US","Texas, USA",2025-08-28,fulltime,51618.0,No,https://ncratleos.wd1.myworkdayjobs.com/en-US/ext_atleos_us/job/Frisco-TX-USA/Business-Operations-Data-Integrity-Analyst_R1149695,False,False,2025-08-28
Analytics Analyst I,Commerce,"Austin, TX, US","Texas, USA",2025-08-28,fulltime,70500.0,No,https://bigcommerce.wd12.myworkdayjobs.com/en-US/Commerce/job/Austin-TX/Analytics-Analyst-I_JR102266,False,False,2025-08-28
Senior Business Analyst,AdventHealth Central Texas,"Killeen, TX, US","Texas, USA",2025-08-28,fulltime,45.0,No,https://AdventHealth.contacthr.com/148842413,False,False,2025-08-28
Senior Analyst aptitude,"Vizient, Inc.","Irving, TX, US","Texas, USA",2025-08-28,Unknown,92400.0,No,https://careers.vizientinc.com/careers/job/446707544622,False,False,2025-08-28
Sr Data Analyst Clinical Analytics and Reporting,DaVita,"Houston, TX, US","Texas, USA",2025-08-28,fulltime,17.5,No,https://click.jobsplice.com/redirect/NDQzODY1Mi4xMTA0Ljc=,False,False,2025-08-28
Internal Controls  Compliance Analyst,"Tailored Shared Services, LLC","Houston, TX, US","Texas, USA",2025-08-27,fulltime,100352.0,Yes,https://apply.tailoredbrands.com/careers/job/31029721?domain=tailoredbrands.com,False,True,2025-08-27
Business Insight Analyst IV Hybrid in Dallas TX,Tenet Healthcare,"Dallas, TX, US","Texas, USA",2025-08-27,fulltime,93575.0,No,https://jobs.tenethealth.com/job/-/-/1127/85503404112,False,False,2025-08-27
Junior Business Analyst  Asset Management,Zekelman Industries,"Austin, TX, US","Texas, USA",2025-08-27,fulltime,65000.0,No,https://zekelman.wd12.myworkdayjobs.com/Careers/job/Chandler-AZ/Junior-Business-Analyst---Asset-Management_JR000718,True,False,2025-08-27
Eligibility Analyst,CVS Health,"Austin, TX, US","Texas, USA",2025-08-25,fulltime,64478.0,No,https://jsv3.recruitics.com/redirect?rx_cid=998&rx_jobId=R0650214&rx_url=https%3A%2F%2Fjobs.cvshealth.com%2Fus%2Fen%2Fjob%2FR0650214%2FEligibility-Analyst%3Frx_campaign%3Dindeed0%26rx_ch%3Djobp4p%26rx_group%3D103511%26rx_id%3D8db51256-83a2-11f0-9696-29c82306476e%26rx_job%3DR0650214%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3DIndeed%26rx_ts%3D20250830T000124Z%26rx_vp%3Dcpc%26utm_campaign%3D%26utm_source%3DIndeedPPCOrg,False,False,2025-08-25
Data Analyst,Ericsson-Worldwide,"Lewisville, TX, US","Texas, USA",2025-08-24,Unknown,146692.5,No,https://jobs.ericsson.com/careers/job/563121767367541?domain=ericsson.com,False,False,2025-08-24
PBM Senior Reporting Analyst,CVS Health,"Austin, TX, US","Texas, USA",2025-08-24,fulltime,84694.0,Yes,https://jsv3.recruitics.com/redirect?rx_cid=998&rx_jobId=R0689855_1041&rx_url=https%3A%2F%2Fjobs.cvshealth.com%2Fus%2Fen%2Fjob%2FR0689855_1041%2FPBM-Senior-Reporting-Analyst%3Frx_campaign%3Dindeed0%26rx_ch%3Djobp4p%26rx_group%3D103511%26rx_id%3D4e48fbe8-837a-11f0-95b0-57032ac424e9%26rx_job%3DR0689855_1041%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3DIndeed%26rx_ts%3D20250830T000124Z%26rx_vp%3Dcpc%26utm_campaign%3D%26utm_source%3DIndeedPPCOrg,False,True,2025-08-24
Business Analyst II  AMZ265121,Amazon.com,"Austin, TX, US","Texas, USA",2025-08-19,fulltime,84087.5,No,https://www.amazon.jobs/jobs/3062791/business-analyst-ii--amz?cmpid=DA_INAD200785B,False,False,2025-08-19
Business Analyst II  AMZ265121,Amazon.com,"Austin, TX, US","Texas, USA",2025-08-19,Unknown,79946.5,No,https://www.amazon.jobs/en/jobs/3062791/business-analyst-ii-amz26512-1?adhoc_referrer=indeed_organic,False,False,2025-08-19
Senior Betting  Gaming Delivery Consultant Advisory,Amazon Web Services,"Dallas, TX, US","Texas, USA",2025-08-03,fulltime,188600.0,No,https://www.amazon.jobs/jobs/3059282/senior-betting--gaming-delivery-consultant-advisory?cmpid=DA_INAD200785B,False,False,2025-08-03
Senior Betting  Gaming Delivery Consultant Advisory,Amazon Web Services,"Austin, TX, US","Texas, USA",2025-08-03,fulltime,188600.0,No,https://www.amazon.jobs/jobs/3059282/senior-betting--gaming-delivery-consultant-advisory?cmpid=DA_INAD200785B,False,False,2025-08-03
Business Analyst Remote Opportunity,VetsEZ,"Austin, TX, US","Texas, USA",2025-07-31,fulltime,96149.0,Yes,https://vetsez.breezy.hr/p/1c05b6d36b5f01-business-analyst-remote-opportunity?source=indeed,False,True,2025-07-31
Senior Compliance Data Analyst NAST SC DAS,Amazon.com,"Dallas, TX, US","Texas, USA",2025-07-30,fulltime,60900.0,No,https://www.amazon.jobs/jobs/3052956/senior-compliance-data-analyst-nast-sc-das?cmpid=DA_INAD200785B,False,False,2025-07-30
Salesforce Solution Analyst,GoodLeap,"Dallas, TX, US","Texas, USA",2025-07-24,fulltime,125000.0,No,https://jobs.lever.co/goodleap/48b7a6ee-d738-4dc2-907d-032dfcc62f0c?lever-source=Indeed,False,False,2025-07-24
Senior Compliance Data Analyst NAST SC DAS,Amazon.com,"Dallas, TX, US","Texas, USA",2025-07-15,fulltime,60900.0,No,https://www.amazon.jobs/jobs/3048390/senior-compliance-data-analyst-nast-sc-das?cmpid=DA_INAD200785B,False,False,2025-07-15
Business Analyst,Amazon.com,"Austin, TX, US","Texas, USA",2025-07-13,fulltime,105000.0,No,https://www.amazon.jobs/jobs/3034711/business-analyst?cmpid=DA_INAD200785B,False,False,2025-07-13
Business Analyst Amazon Logistics AMZL SOP Planning,Amazon.com,"Austin, TX, US","Texas, USA",2025-06-10,fulltime,105000.0,No,https://www.amazon.jobs/jobs/3007598/business-analyst-amazon-logistics-amzl-sop-planning?cmpid=DA_INAD200785B,False,False,2025-06-10
Business Analyst AMZL,Amazon.com,"Austin, TX, US","Texas, USA",2025-04-17,fulltime,105000.0,No,https://www.amazon.jobs/jobs/2959810/business-analyst-amzl?cmpid=DA_INAD200785B,False,False,2025-04-17
Senior Delivery Consultant  Data  Analytics Worldwide Public Sector Professional Services State and Local Government  Education,Amazon Web Services,"Dallas, TX, US","Texas, USA",2025-04-15,fulltime,146818.0,No,https://www.amazon.jobs/jobs/2965433/senior-delivery-consultant--data--analytics-worldwide-public-sector-professional-services-state-and-local-government--education?cmpid=DA_INAD200785B,False,False,2025-04-15
Senior Business Analyst,Amazon.com,"Austin, TX, US","Texas, USA",2025-02-11,fulltime,145700.0,No,https://www.amazon.jobs/jobs/2899994/senior-business-analyst?cmpid=DA_INAD200785B,False,False,2025-02-11
Business Analyst,Amazon.com,"Austin, TX, US","Texas, USA",2025-01-21,fulltime,105000.0,No,https://www.amazon.jobs/jobs/2883250/business-analyst?cmpid=DA_INAD200785B,False,False,2025-01-21
Sr Data Analyst,BMO US,"San Ramon, CA, US","California, USA",2025-08-28,fulltime,116600.0,No,https://bmo.wd3.myworkdayjobs.com/en-US/External/job/San-Ramon-CA-USA/Sr-Data-Analyst_R250021917?source=Indeed,False,False,2025-08-28
Supplier Business Analyst,Regal Wine Company,"Santa Rosa, CA, US","California, USA",2025-08-28,fulltime,73792.0,No,https://app.jobvite.com/CompanyJobs/Job.aspx?j=o3joxfw1&s=Indeed,False,False,2025-08-28
Senior Compensation Analyst Temp,Sanmina,"San Jose, CA, US","California, USA",2025-08-28,temporary,135000.0,No,https://sanminacareers.mua.hrdepartment.com/hr/ats/Posting/view/101925,False,False,2025-08-28
Data Collection Analyst,Booz Allen Hamilton,"Port Hueneme, CA, US","California, USA",2025-08-28,fulltime,101450.0,Yes,https://careers.boozallen.com/careers/JobDetail?jobId=115021,False,True,2025-08-28
AntiFraud Data Analyst  USDS,TikTok,"San Jose, CA, US","California, USA",2025-08-28,Unknown,169311.5,No,https://lifeattiktok.com/search/7543667090965924114,False,False,2025-08-28
Data Analyst,CarParts.com,"Torrance, CA, US","California, USA",2025-08-28,fulltime,97500.0,No,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ad933d4d-2649-4054-8cc2-d704d60ff765&ccId=19000101_000001&jobId=509157&source=IN&lang=en_US,False,False,2025-08-28
Business Analyst II Full Time United States,Cisco,"San Jose, CA, US","California, USA",2025-08-28,fulltime,107759.0,No,https://jobs.cisco.com/jobs/ProjectDetail/Business-Analyst-II-Full-Time-United-States/1448964,False,False,2025-08-28
Business Analyst IT Applications,Xperi,"San Jose, CA, US","California, USA",2025-08-28,fulltime,113420.0,No,https://app.jobvite.com/CompanyJobs/Job.aspx?j=oLSvxfwp&s=Indeed,False,False,2025-08-28
Data Analyst,Disney Direct to Consumer,"Santa Monica, CA, US","California, USA",2025-08-28,Unknown,114600.0,No,https://www.disneycareers.com/job/-/-/391/85522500320,False,False,2025-08-28
Senior Data Analyst,Disney Direct to Consumer,"Santa Monica, CA, US","California, USA",2025-08-28,Unknown,138100.0,No,https://www.disneycareers.com/job/-/-/391/85534205104,False,False,2025-08-28
AnalystRevenue Management  Analytics,Disney Experiences,"Anaheim, CA, US","California, USA",2025-08-28,Unknown,104600.0,No,https://www.disneycareers.com/job/-/-/391/85529658224,False,False,2025-08-28
Operations Data Analyst Senior,Pacific Gas and Electric,"Cupertino, CA, US","California, USA",2025-08-28,fulltime,127850.0,Yes,https://jobs.pge.com/job/-/-/29673/85542133744,False,True,2025-08-28
Business Intelligence Analyst Intern Anaheim CA,L3Harris,"Anaheim, CA, US","California, USA",2025-08-28,internship,29.5,No,https://careers.harris.com/job/-/-/4832/85525308128,False,False,2025-08-28
Configuration  Data Management Analyst Journeyman,Precise Systems,"San Diego, CA, US","California, USA",2025-08-28,Unknown,98041.0,No,https://jobs.silkroad.com/Precise/ProfessionalCareers/jobs/4384/?source=Indeed.com,False,False,2025-08-28
Investment Market Data Analyst,California Public Employees' Retirement System (CalPERS),"Sacramento, CA, US","California, USA",2025-08-28,fulltime,6327.5,Yes,https://calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=490289,False,True,2025-08-28
FSR Analyst,DCI Solutions,"San Diego, CA, US","California, USA",2025-08-28,fulltime,120000.0,No,http://www.indeed.com/job/fsr-analyst-dbcd8e90568edbfc,False,False,2025-08-28
FSR Analyst,DCI Solutions,"Camp Pendleton, CA, US","California, USA",2025-08-28,fulltime,120000.0,No,http://www.indeed.com/job/fsr-analyst-6d19378b4580ce58,False,False,2025-08-28
Business Analyst grant management,FedTec,"San Francisco, CA, US","California, USA",2025-08-28,"fulltime, contract",60.0,No,http://www.indeed.com/job/business-analyst-grant-management-10433ceafd021075,False,False,2025-08-28
Research Data Intelligence Analyst Epic ClarityCaboodle  Remote,Cedars-Sinai Medical Center,"Beverly Hills, CA, US","California, USA",2025-08-27,Unknown,125226.0,Yes,https://careers.cshs.org/job/-/-/252/85533734784,False,True,2025-08-27
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Department of Social Services,"CA, US","California, USA",2025-08-27,fulltime,6789.0,No,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=490370,False,False,2025-08-27
Rotational Program  Finance Insights  Data Analyst,Roche,"Pleasanton, CA, US","California, USA",2025-08-27,fulltime,108300.0,No,https://careers.roche.com/global/en/job/202508-121175,False,False,2025-08-27
Research Data Intelligence Analyst Epic ClarityCaboodle,Cedars-Sinai Medical Center,"Beverly Hills, CA, US","California, USA",2025-08-27,Unknown,125226.0,Yes,https://careers.cshs.org/job/beverly-hills/research-data-intelligence-analyst-epic-clarity-caboodle-remote/252/85533734784,False,True,2025-08-27
Senior Data Analyst,The Walt Disney Company,"Santa Monica, CA, US","California, USA",2025-08-27,Unknown,138100.0,No,https://jobs.disneycareers.com/job/santa-monica/senior-data-analyst/391/85534205104,False,False,2025-08-27
Business Intelligence Specialist,ABB,"San Pedro, CA, US","California, USA",2025-08-27,fulltime,87796.5,No,https://careers.abb/global/en/job/JR00008601,False,False,2025-08-27
Manufacturing Data Analyst,Sanmina,"San Jose, CA, US","California, USA",2025-08-27,Unknown,103000.0,No,https://sanminacareers.mua.hrdepartment.com/hr/ats/Posting/view/99428,False,False,2025-08-27
Business Analyst,Solar Turbines,"San Diego, CA, US","California, USA",2025-08-27,fulltime,150374.0,No,https://cat.wd5.myworkdayjobs.com/en-US/SolarTurbines/job/San-Diego-California/Business-Analyst_R0000321590,False,False,2025-08-27
Research Data Intelligence Analyst Epic ClarityCaboodle  Remote,Cedars-Sinai Medical Center,"Beverly Hills, CA, US","California, USA",2025-08-27,Unknown,125226.0,Yes,https://careers.cshs.org/job/beverly-hills/research-data-intelligence-analyst-epic-clarity-caboodle-remote/252/85533734784,False,True,2025-08-27
AnalystRevenue Management  Analytics,The Walt Disney Company,"Anaheim, CA, US","California, USA",2025-08-27,Unknown,104600.0,No,https://jobs.disneycareers.com/job/anaheim/analyst-revenue-management-and-analytics/391/85529658224,False,False,2025-08-27
Configuration  Data Management Analyst Journeyman,Precise Systems,"San Diego, CA, US","California, USA",2025-08-27,fulltime,98041.0,No,https://jobs.silkroad.com/Precise/ProfessionalCareers/jobs/4384?embedded=true,False,False,2025-08-27
Data Analyst,EvenUp,"San Francisco, CA, US","California, USA",2025-08-27,fulltime,182500.0,Yes,https://jobs.ashbyhq.com/evenup/777d2c7a-fbb6-4055-b7e3-cb45f2b2616b?utm_source=qrwm0P0aXz,False,True,2025-08-27
Conflicts Data Analyst,Kahana & Feld LLP,"Irvine, CA, US","California, USA",2025-08-27,fulltime,31.0,No,https://recruiting.paylocity.com/recruiting/jobs/Details/3455179/Kahana-Feld-LLP/Conflicts-Data-Analyst?source=Indeed_Feed,False,False,2025-08-27
US Navy Preventative Maintenance System Analyst,"JSL Technologies, Inc","San Diego, CA, US","California, USA",2025-08-27,fulltime,80000.0,No,https://recruiting.paylocity.com/recruiting/jobs/Details/3534438/JSL-Technologies-Incorporated/US-Navy-Preventative-Maintenance-System-Analyst?source=Indeed_Feed,False,False,2025-08-27
Analyst Product Growth Strategy Apps  Industries,Salesforce,"San Francisco, CA, US","California, USA",2025-08-27,fulltime,134400.0,No,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/California---San-Francisco/Analyst--Product-Growth-Strategy--Apps---Industries_JR308120,False,False,2025-08-27
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,DEPARTMENT OF WATER RESOURCES,"CA, US","California, USA",2025-08-27,fulltime,6789.0,No,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=489816,False,False,2025-08-27
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Caltrans - CA Dept. of Transportation,"CA, US","California, USA",2025-08-27,fulltime,6789.0,No,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=490283,False,False,2025-08-27
Senior Research Data Analyst,UCLA Health,"Los Angeles, CA, US","California, USA",2025-08-27,Unknown,11300.0,No,http://www.uclahealthcareers.org/job/22364927/senior-research-data-analyst-los-angeles-ca/?utm_content=Senior Research Data Analyst&utm_term=26368&utm_campaign=Default Campaign&utm_medium=symphonytalent-jobads&utm_source=Indeed,False,False,2025-08-27
Financial Analyst EntryLevel or Associate,Boeing,"El Segundo, CA, US","California, USA",2025-08-27,Unknown,75050.0,No,https://jobs.boeing.com/job/-/-/185/85503786160,True,False,2025-08-27
Sr Data Analyst,Disney Direct to Consumer,"Santa Monica, CA, US","California, USA",2025-08-27,Unknown,138100.0,No,https://www.disneycareers.com/job/-/-/391/85490470464,False,False,2025-08-27
Senior Data Analyst,WelbeHealth,"CA, US","California, USA",2025-08-26,fulltime,104726.0,No,https://jsv3.recruitics.com/redirect?rx_cid=3517&rx_jobId=8143076002&rx_url=https%3A%2F%2Fcareers.welbehealth.com%2Fus%2Fen%2Fjob%2F8143076002%3Fgh_src%3D7d8756e42us%26rx_ats_source%3D7d8756e42us%26rx_campaign%3Dindeed0%26rx_ch%3Djobp4p%26rx_group%3D132185%26rx_id%3D969b1366-8479-11f0-b2df-9784a0d54d7c%26rx_job%3D8143076002%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3DIndeed%26rx_ts%3D20250830T000219Z%26rx_vp%3Dcpc%26utm_campaign%3Drecruitics%26utm_medium%3Dorganic%26utm_source%3Dindeed,False,False,2025-08-26
Data Analytics Engineer Embedded Business Unit,Micron Technology,"San Jose, CA, US","California, USA",2025-08-26,fulltime,187128.0,No,https://careers.micron.com/careers/job/30948526?utm_source=indeed&domain=micron.com,False,False,2025-08-26
Senior Business Analyst FT Days,PIH Health,"Whittier, CA, US","California, USA",2025-08-26,fulltime,48.0,No,https://jobs.pihhealth.org/job/-/-/912/85496043648,False,False,2025-08-26
Senior Business Analyst,East West Bank,"El Monte, CA, US","California, USA",2025-08-25,fulltime,94500.0,No,https://careers-eastwestbank.icims.com/jobs/12322/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,False,False,2025-08-25
PBM Senior Reporting Analyst,CVS Health,"Sacramento, CA, US","California, USA",2025-08-24,fulltime,84694.0,Yes,https://jsv3.recruitics.com/redirect?rx_cid=998&rx_jobId=R0689855_1003&rx_url=https%3A%2F%2Fjobs.cvshealth.com%2Fus%2Fen%2Fjob%2FR0689855_1003%2FPBM-Senior-Reporting-Analyst%3Frx_campaign%3Dindeed0%26rx_ch%3Djobp4p%26rx_group%3D103511%26rx_id%3D43b0bc86-837a-11f0-95b0-85004fd11bf9%26rx_job%3DR0689855_1003%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3DIndeed%26rx_ts%3D20250830T000124Z%26rx_vp%3Dcpc%26utm_campaign%3D%26utm_source%3DIndeedPPCOrg,False,True,2025-08-24
Senior Betting  Gaming Delivery Consultant Advisory,Amazon Web Services,"Palo Alto, CA, US","California, USA",2025-08-03,fulltime,188600.0,No,https://www.amazon.jobs/jobs/3059282/senior-betting--gaming-delivery-consultant-advisory?cmpid=DA_INAD200785B,False,False,2025-08-03
Senior Business Analyst RISC GDA,Amazon.com,"San Diego, CA, US","California, USA",2025-04-30,fulltime,145700.0,No,https://www.amazon.jobs/jobs/3047235/senior-business-analyst-risc-gda?cmpid=DA_INAD200785B,False,False,2025-04-30
Senior Business Analyst RISC GDA,Amazon.com,"San Diego, CA, US","California, USA",2025-04-27,fulltime,145700.0,No,https://www.amazon.jobs/jobs/2975186/senior-business-analyst-risc-gda?cmpid=DA_INAD200785B,False,False,2025-04-27
Business Analyst III  Fulfillment by Amazon FBA Science,Amazon.com,"Sunnyvale, CA, US","California, USA",2025-04-03,fulltime,145700.0,No,https://www.amazon.jobs/jobs/2955167/business-analyst-iii--fulfillment-by-amazon-fba-science?cmpid=DA_INAD200785B,False,False,2025-04-03
Inventory Data Analyst,The BFLO Store,"Williamsville, NY, US","New York, USA",2025-08-29,parttime,19.0,No,http://www.indeed.com/job/inventory-data-analyst-0218dbb6d3ea543f,False,False,2025-08-29
Data Analyst,Maimonides Medical Center,"Brooklyn, NY, US","New York, USA",2025-08-28,fulltime,62333.0,No,https://careers.maimo.org/jobs/10787/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,False,False,2025-08-28
Energy Data Analyst III,TRC,"Clifton Park, NY, US","New York, USA",2025-08-28,fulltime,94646.5,No,https://careers.trccompanies.com/jobs/24086/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,False,False,2025-08-28
Sr Analyst Compliance Program Effectiveness Data and Aggregation,TD Bank,"New York, NY, US","New York, USA",2025-08-28,fulltime,149240.0,No,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/New-York-New-York/Sr-Analyst--Compliance-Program-Effectiveness-Data-and-Aggregation_R_1439953,False,False,2025-08-28
Sr Analyst Compliance Program Management,TD Bank,"New York, NY, US","New York, USA",2025-08-28,fulltime,149240.0,No,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/New-York-New-York/Sr-Analyst--Compliance-Program-Management_R_1439962,False,False,2025-08-28
Data Analyst,Cushman & Wakefield,"New York, NY, US","New York, USA",2025-08-28,fulltime,99067.5,Yes,https://cw.wd1.myworkdayjobs.com/External/job/New-York-New-York-USA/Data-Analyst_R284481,False,True,2025-08-28
Claims Quality Analyst,MetroPlusHealth,"New York, NY, US","New York, USA",2025-08-28,fulltime,60000.0,No,https://www.metroplusjobs.org/job/3132/claims-quality-analyst-claims-new-york-ny-126768/,False,False,2025-08-28
Lead Business Analyst  90352303  New York,Amtrak,"New York, NY, US","New York, USA",2025-08-28,Unknown,108278.0,No,https://careers.amtrak.com/job/New-York-Lead-Business-Analyst-90352303-New-York-NY-10001/1321455900/?feedId=75300&utm_source=Indeed&utm_campaign=Amtrak_Indeed,False,False,2025-08-28
Senior Financial Data Analyst  Healthcare,VillageCare,"New York, NY, US","New York, USA",2025-08-28,fulltime,93125.0,Yes,https://www.applicantpro.com/openings/villagecare/jobs/3843525-368765,False,True,2025-08-28
Senior Analyst,NS IT Solutions,"New York, NY, US","New York, USA",2025-08-28,Unknown,70.0,No,https://nsitsolutions.oorwin.com/careers/index.html#/job/indeed_details/c7e9c7545fe84025f5aa6dd945c474e3c988300c?source=indeed&postedby=115,False,False,2025-08-28
Business Analyst Automation RPA,Teachers Federal Credit Union,"Hauppauge, NY, US","New York, USA",2025-08-27,fulltime,103000.0,Yes,https://prd01-hcm01.prd.mykronos.com/ta/6078376.careers?ShowJob=2080644686,False,True,2025-08-27
Finance Global Reporting  Analytics GRA Lead Analyst Vice President,Citi,"New York, NY, US","New York, USA",2025-08-27,fulltime,162300.0,No,https://jobs.citi.com/job/-/-/287/85531626032,False,False,2025-08-27
Data Analytics Lead Analyst VP,Citi,"Getzville, NY, US","New York, USA",2025-08-27,fulltime,126000.0,No,https://jobs.citi.com/job/-/-/287/85516360080,False,False,2025-08-27
Analyst Gas Field Operations,National Grid,"Melville, NY, US","New York, USA",2025-08-27,fulltime,100000.0,No,https://jobs.nationalgrid.com/uk/jobs/69287/analyst-gas-field-operations/,False,False,2025-08-27
Data Analyst Scientific American,Springer Nature,"New York, NY, US","New York, USA",2025-08-27,fulltime,90000.0,No,https://springernature.wd3.myworkdayjobs.com/de-DE/SpringerNatureCareers/job/New-York/Data-Analyst--Scientific-American_JR104143,False,False,2025-08-27
Data Analytics Lead Analyst VP,Information Technology Senior Management Forum,"Getzville, NY, US","New York, USA",2025-08-27,fulltime,126000.0,No,https://jobs.itsmfleaders.org/job/9hgyze/data-analytics-lead-analyst-vp/getzville/ny,False,False,2025-08-27
